LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,FlagCodes
AUT,GDP,TOT,MLN_USD,A,2011,373031.477,
AUT,GDP,TOT,MLN_USD,A,2012,391635.176,
AUT,GDP,TOT,MLN_USD,A,2013,406370.245,
AUT,GDP,TOT,MLN_USD,A,2014,417059.519,
AUT,GDP,TOT,MLN_USD,A,2015,430975.924,
AUT,GDP,TOT,MLN_USD,A,2016,460282.647,
AUT,GDP,TOT,MLN_USD,A,2017,476590.588,
AUT,GDP,TOT,MLN_USD,A,2018,503361.417,
AUT,GDP,TOT,MLN_USD,A,2019,530169.037,
AUT,GDP,TOT,MLN_USD,A,2020,510568.008,
AUT,GDP,TOT,MLN_USD,A,2021,537014.574,
BEL,GDP,TOT,MLN_USD,A,2011,451932.625,
BEL,GDP,TOT,MLN_USD,A,2012,469720.336,
BEL,GDP,TOT,MLN_USD,A,2013,487343.796,
BEL,GDP,TOT,MLN_USD,A,2014,503619.623,
BEL,GDP,TOT,MLN_USD,A,2015,520877.807,
BEL,GDP,TOT,MLN_USD,A,2016,550677.566,
BEL,GDP,TOT,MLN_USD,A,2017,573788.528,
BEL,GDP,TOT,MLN_USD,A,2018,600269.926,
BEL,GDP,TOT,MLN_USD,A,2019,641098.699,
BEL,GDP,TOT,MLN_USD,A,2020,629659.269,P
BEL,GDP,TOT,MLN_USD,A,2021,681853.013,P
CZE,GDP,TOT,MLN_USD,A,2011,304400.914,
CZE,GDP,TOT,MLN_USD,A,2012,307490.199,
CZE,GDP,TOT,MLN_USD,A,2013,324029.978,
CZE,GDP,TOT,MLN_USD,A,2014,342099.837,
CZE,GDP,TOT,MLN_USD,A,2015,357503.881,
CZE,GDP,TOT,MLN_USD,A,2016,381420.335,
CZE,GDP,TOT,MLN_USD,A,2017,411327.86,
CZE,GDP,TOT,MLN_USD,A,2018,437355.916,
CZE,GDP,TOT,MLN_USD,A,2019,471832.671,
CZE,GDP,TOT,MLN_USD,A,2020,458157.819,
CZE,GDP,TOT,MLN_USD,A,2021,479378.76,
DEU,GDP,TOT,MLN_USD,A,2011,3415019.966,
DEU,GDP,TOT,MLN_USD,A,2012,3487234.448,
DEU,GDP,TOT,MLN_USD,A,2013,3628559.337,
DEU,GDP,TOT,MLN_USD,A,2014,3807114.521,
DEU,GDP,TOT,MLN_USD,A,2015,3889081.896,
DEU,GDP,TOT,MLN_USD,A,2016,4165169.905,
DEU,GDP,TOT,MLN_USD,A,2017,4386729.188,
DEU,GDP,TOT,MLN_USD,A,2018,4576056.532,
DEU,GDP,TOT,MLN_USD,A,2019,4769328.306,P
DEU,GDP,TOT,MLN_USD,A,2020,4697130.976,P
DEU,GDP,TOT,MLN_USD,A,2021,4891842.639,P
DNK,GDP,TOT,MLN_USD,A,2011,247352.237,
DNK,GDP,TOT,MLN_USD,A,2012,250524.599,
DNK,GDP,TOT,MLN_USD,A,2013,262368.12,
DNK,GDP,TOT,MLN_USD,A,2014,270330.607,
DNK,GDP,TOT,MLN_USD,A,2015,278748.365,
DNK,GDP,TOT,MLN_USD,A,2016,297719.06,
DNK,GDP,TOT,MLN_USD,A,2017,319130.165,
DNK,GDP,TOT,MLN_USD,A,2018,333035.355,
DNK,GDP,TOT,MLN_USD,A,2019,348345.911,
DNK,GDP,TOT,MLN_USD,A,2020,354736.865,
DNK,GDP,TOT,MLN_USD,A,2021,380007.666,
ESP,GDP,TOT,MLN_USD,A,2011,1489594.952,
ESP,GDP,TOT,MLN_USD,A,2012,1483654.097,
ESP,GDP,TOT,MLN_USD,A,2013,1512561.983,
ESP,GDP,TOT,MLN_USD,A,2014,1558986.389,
ESP,GDP,TOT,MLN_USD,A,2015,1621825.009,
ESP,GDP,TOT,MLN_USD,A,2016,1734116.161,
ESP,GDP,TOT,MLN_USD,A,2017,1842770.464,
ESP,GDP,TOT,MLN_USD,A,2018,1905450.021,
ESP,GDP,TOT,MLN_USD,A,2019,2031924.567,
ESP,GDP,TOT,MLN_USD,A,2020,1799328.046,P
ESP,GDP,TOT,MLN_USD,A,2021,1928019.184,P
EST,GDP,TOT,MLN_USD,A,2011,32598.245,
EST,GDP,TOT,MLN_USD,A,2012,34384.891,
EST,GDP,TOT,MLN_USD,A,2013,36198.154,
EST,GDP,TOT,MLN_USD,A,2014,38050.086,
EST,GDP,TOT,MLN_USD,A,2015,38378.235,
EST,GDP,TOT,MLN_USD,A,2016,41201.029,
EST,GDP,TOT,MLN_USD,A,2017,44556.482,
EST,GDP,TOT,MLN_USD,A,2018,48133.366,
EST,GDP,TOT,MLN_USD,A,2019,51758.554,
EST,GDP,TOT,MLN_USD,A,2020,52438.777,
EST,GDP,TOT,MLN_USD,A,2021,57864.708,
FIN,GDP,TOT,MLN_USD,A,2011,220471.171,
FIN,GDP,TOT,MLN_USD,A,2012,221285.636,
FIN,GDP,TOT,MLN_USD,A,2013,225679.983,
FIN,GDP,TOT,MLN_USD,A,2014,228058.636,
FIN,GDP,TOT,MLN_USD,A,2015,232867.602,
FIN,GDP,TOT,MLN_USD,A,2016,246928.493,
FIN,GDP,TOT,MLN_USD,A,2017,262026.563,
FIN,GDP,TOT,MLN_USD,A,2018,273455.993,
FIN,GDP,TOT,MLN_USD,A,2019,286082.927,
FIN,GDP,TOT,MLN_USD,A,2020,289224.32,
FIN,GDP,TOT,MLN_USD,A,2021,303129.453,
FRA,GDP,TOT,MLN_USD,A,2011,2446474.544,
FRA,GDP,TOT,MLN_USD,A,2012,2474005.287,
FRA,GDP,TOT,MLN_USD,A,2013,2608523.504,
FRA,GDP,TOT,MLN_USD,A,2014,2662032.873,
FRA,GDP,TOT,MLN_USD,A,2015,2718495.127,
FRA,GDP,TOT,MLN_USD,A,2016,2864105.631,
FRA,GDP,TOT,MLN_USD,A,2017,2983010.673,
FRA,GDP,TOT,MLN_USD,A,2018,3125379.86,
FRA,GDP,TOT,MLN_USD,A,2019,3403158.941,
FRA,GDP,TOT,MLN_USD,A,2020,3252531.255,
FRA,GDP,TOT,MLN_USD,A,2021,3479874.481,P
GBR,GDP,TOT,MLN_USD,A,2011,2357065.652,
GBR,GDP,TOT,MLN_USD,A,2012,2441787.874,
GBR,GDP,TOT,MLN_USD,A,2013,2563540.009,
GBR,GDP,TOT,MLN_USD,A,2014,2667111.912,
GBR,GDP,TOT,MLN_USD,A,2015,2773799.776,
GBR,GDP,TOT,MLN_USD,A,2016,2903649.696,
GBR,GDP,TOT,MLN_USD,A,2017,3045581.584,
GBR,GDP,TOT,MLN_USD,A,2018,3137072.362,
GBR,GDP,TOT,MLN_USD,A,2019,3294277.295,
GBR,GDP,TOT,MLN_USD,A,2020,3077151.591,
GBR,GDP,TOT,MLN_USD,A,2021,3355086.227,
GRC,GDP,TOT,MLN_USD,A,2011,285079.561,
GRC,GDP,TOT,MLN_USD,A,2012,275143.683,
GRC,GDP,TOT,MLN_USD,A,2013,284949.076,
GRC,GDP,TOT,MLN_USD,A,2014,290011.379,
GRC,GDP,TOT,MLN_USD,A,2015,289570.644,
GRC,GDP,TOT,MLN_USD,A,2016,296466.614,
GRC,GDP,TOT,MLN_USD,A,2017,307636.013,
GRC,GDP,TOT,MLN_USD,A,2018,317881.481,
GRC,GDP,TOT,MLN_USD,A,2019,334040.54,
GRC,GDP,TOT,MLN_USD,A,2020,304016.729,P
GRC,GDP,TOT,MLN_USD,A,2021,333014.632,P
HUN,GDP,TOT,MLN_USD,A,2011,229643.36,
HUN,GDP,TOT,MLN_USD,A,2012,230821.511,
HUN,GDP,TOT,MLN_USD,A,2013,242855.184,
HUN,GDP,TOT,MLN_USD,A,2014,253484.632,
HUN,GDP,TOT,MLN_USD,A,2015,263781.873,
HUN,GDP,TOT,MLN_USD,A,2016,274222.712,
HUN,GDP,TOT,MLN_USD,A,2017,288707.448,
HUN,GDP,TOT,MLN_USD,A,2018,311925.167,
HUN,GDP,TOT,MLN_USD,A,2019,338460.936,
HUN,GDP,TOT,MLN_USD,A,2020,333066.376,
HUN,GDP,TOT,MLN_USD,A,2021,356227.581,P
IRL,GDP,TOT,MLN_USD,A,2011,206494.885,
IRL,GDP,TOT,MLN_USD,A,2012,213365.684,
IRL,GDP,TOT,MLN_USD,A,2013,221217.164,
IRL,GDP,TOT,MLN_USD,A,2014,238187.305,
IRL,GDP,TOT,MLN_USD,A,2015,324787.369,
IRL,GDP,TOT,MLN_USD,A,2016,340185.299,
IRL,GDP,TOT,MLN_USD,A,2017,374825.508,
IRL,GDP,TOT,MLN_USD,A,2018,412301.576,
IRL,GDP,TOT,MLN_USD,A,2019,442690.205,
IRL,GDP,TOT,MLN_USD,A,2020,468339.713,
IRL,GDP,TOT,MLN_USD,A,2021,536386.735,
ITA,GDP,TOT,MLN_USD,A,2011,2173169.961,
ITA,GDP,TOT,MLN_USD,A,2012,2172383.108,
ITA,GDP,TOT,MLN_USD,A,2013,2187376.607,
ITA,GDP,TOT,MLN_USD,A,2014,2200256.409,
ITA,GDP,TOT,MLN_USD,A,2015,2240922.483,
ITA,GDP,TOT,MLN_USD,A,2016,2420672.141,
ITA,GDP,TOT,MLN_USD,A,2017,2517184.468,
ITA,GDP,TOT,MLN_USD,A,2018,2600326.872,
ITA,GDP,TOT,MLN_USD,A,2019,2735577.365,
ITA,GDP,TOT,MLN_USD,A,2020,2564455.924,
ITA,GDP,TOT,MLN_USD,A,2021,2760717.633,
LTU,GDP,TOT,MLN_USD,A,2011,69298.245,
LTU,GDP,TOT,MLN_USD,A,2012,73809.042,
LTU,GDP,TOT,MLN_USD,A,2013,79034.188,
LTU,GDP,TOT,MLN_USD,A,2014,82647.295,
LTU,GDP,TOT,MLN_USD,A,2015,83761.504,
LTU,GDP,TOT,MLN_USD,A,2016,88700.479,
LTU,GDP,TOT,MLN_USD,A,2017,95492.278,
LTU,GDP,TOT,MLN_USD,A,2018,101910.429,
LTU,GDP,TOT,MLN_USD,A,2019,111628.422,
LTU,GDP,TOT,MLN_USD,A,2020,112154.097,
LTU,GDP,TOT,MLN_USD,A,2021,122723.588,
LUX,GDP,TOT,MLN_USD,A,2011,48970.83,
LUX,GDP,TOT,MLN_USD,A,2012,51308.749,
LUX,GDP,TOT,MLN_USD,A,2013,54838.627,
LUX,GDP,TOT,MLN_USD,A,2014,58578.312,
LUX,GDP,TOT,MLN_USD,A,2015,61437.294,
LUX,GDP,TOT,MLN_USD,A,2016,65980.114,
LUX,GDP,TOT,MLN_USD,A,2017,68570.173,
LUX,GDP,TOT,MLN_USD,A,2018,70825.278,
LUX,GDP,TOT,MLN_USD,A,2019,74115.971,
LUX,GDP,TOT,MLN_USD,A,2020,75656.711,
LUX,GDP,TOT,MLN_USD,A,2021,84175.446,
LVA,GDP,TOT,MLN_USD,A,2011,39646.372,
LVA,GDP,TOT,MLN_USD,A,2012,43311.605,
LVA,GDP,TOT,MLN_USD,A,2013,45564.445,
LVA,GDP,TOT,MLN_USD,A,2014,47483.528,
LVA,GDP,TOT,MLN_USD,A,2015,49384.341,
LVA,GDP,TOT,MLN_USD,A,2016,52362.25,
LVA,GDP,TOT,MLN_USD,A,2017,55691.224,
LVA,GDP,TOT,MLN_USD,A,2018,59505.492,
LVA,GDP,TOT,MLN_USD,A,2019,63017.996,
LVA,GDP,TOT,MLN_USD,A,2020,62750.162,
LVA,GDP,TOT,MLN_USD,A,2021,65991.926,
NLD,GDP,TOT,MLN_USD,A,2011,777880.907,
NLD,GDP,TOT,MLN_USD,A,2012,792041.828,
NLD,GDP,TOT,MLN_USD,A,2013,827475.788,
NLD,GDP,TOT,MLN_USD,A,2014,830318.43,
NLD,GDP,TOT,MLN_USD,A,2015,851884.697,
NLD,GDP,TOT,MLN_USD,A,2016,890488.555,
NLD,GDP,TOT,MLN_USD,A,2017,943739.619,
NLD,GDP,TOT,MLN_USD,A,2018,996447.288,
NLD,GDP,TOT,MLN_USD,A,2019,1044307.685,
NLD,GDP,TOT,MLN_USD,A,2020,1043402.526,
NLD,GDP,TOT,MLN_USD,A,2021,1111051.53,P
POL,GDP,TOT,MLN_USD,A,2011,862451.786,
POL,GDP,TOT,MLN_USD,A,2012,897877.763,
POL,GDP,TOT,MLN_USD,A,2013,925133.245,
POL,GDP,TOT,MLN_USD,A,2014,962317.654,
POL,GDP,TOT,MLN_USD,A,2015,1018896.563,
POL,GDP,TOT,MLN_USD,A,2016,1069459.06,
POL,GDP,TOT,MLN_USD,A,2017,1137654.148,
POL,GDP,TOT,MLN_USD,A,2018,1216240.494,
POL,GDP,TOT,MLN_USD,A,2019,1327882.052,
POL,GDP,TOT,MLN_USD,A,2020,1338432.734,
POL,GDP,TOT,MLN_USD,A,2021,1439480.291,
PRT,GDP,TOT,MLN_USD,A,2011,282620.91,
PRT,GDP,TOT,MLN_USD,A,2012,277991.759,
PRT,GDP,TOT,MLN_USD,A,2013,292135.199,
PRT,GDP,TOT,MLN_USD,A,2014,298951.673,
PRT,GDP,TOT,MLN_USD,A,2015,307230.008,
PRT,GDP,TOT,MLN_USD,A,2016,326364.379,
PRT,GDP,TOT,MLN_USD,A,2017,340370.325,
PRT,GDP,TOT,MLN_USD,A,2018,359198.932,
PRT,GDP,TOT,MLN_USD,A,2019,383670.579,
PRT,GDP,TOT,MLN_USD,A,2020,359941.428,
PRT,GDP,TOT,MLN_USD,A,2021,378292.824,P
SVK,GDP,TOT,MLN_USD,A,2011,141755.313,
SVK,GDP,TOT,MLN_USD,A,2012,145972.536,
SVK,GDP,TOT,MLN_USD,A,2013,151678.246,
SVK,GDP,TOT,MLN_USD,A,2014,157298.526,
SVK,GDP,TOT,MLN_USD,A,2015,163007.449,
SVK,GDP,TOT,MLN_USD,A,2016,161498.697,
SVK,GDP,TOT,MLN_USD,A,2017,163951.2,
SVK,GDP,TOT,MLN_USD,A,2018,170864.165,
SVK,GDP,TOT,MLN_USD,A,2019,182476.832,
SVK,GDP,TOT,MLN_USD,A,2020,179661.812,
SVK,GDP,TOT,MLN_USD,A,2021,184710.462,
SVN,GDP,TOT,MLN_USD,A,2011,59391.555,
SVN,GDP,TOT,MLN_USD,A,2012,59745.667,
SVN,GDP,TOT,MLN_USD,A,2013,61744.434,
SVN,GDP,TOT,MLN_USD,A,2014,63653.392,
SVN,GDP,TOT,MLN_USD,A,2015,65265.909,
SVN,GDP,TOT,MLN_USD,A,2016,70079.359,
SVN,GDP,TOT,MLN_USD,A,2017,75438.709,
SVN,GDP,TOT,MLN_USD,A,2018,80823.475,
SVN,GDP,TOT,MLN_USD,A,2019,87897.466,
SVN,GDP,TOT,MLN_USD,A,2020,85929.679,
SVN,GDP,TOT,MLN_USD,A,2021,92701.12,
SWE,GDP,TOT,MLN_USD,A,2011,421515.998,
SWE,GDP,TOT,MLN_USD,A,2012,432488.303,
SWE,GDP,TOT,MLN_USD,A,2013,444616.544,
SWE,GDP,TOT,MLN_USD,A,2014,457507.758,
SWE,GDP,TOT,MLN_USD,A,2015,481170.723,
SWE,GDP,TOT,MLN_USD,A,2016,500423.665,
SWE,GDP,TOT,MLN_USD,A,2017,522476.825,
SWE,GDP,TOT,MLN_USD,A,2018,544594.071,
SWE,GDP,TOT,MLN_USD,A,2019,579773.396,
SWE,GDP,TOT,MLN_USD,A,2020,581247.942,
SWE,GDP,TOT,MLN_USD,A,2021,626269.585,
